kind_code,target,delta,realization,W3_reconstructed,min_patch_overlap,c0,c1,c2,c3,c4,c5
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.000000000000000000e+01,9.972862919979610385e-01,3.270463755500053749e-01,5.375239060632646115e-01,4.997791181662404880e-01,-3.045656724266599946e-01,1.822147130494817524e-01,-8.808106878420065566e-01,7.665256799555901779e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.100000000000000000e+01,9.971488355395630165e-01,3.286579696125639938e-01,-1.037256389403454770e+00,-6.003246791028559182e-01,1.060908569749516417e+00,-3.746566608098165774e-01,6.838602314688556616e-01,-1.867179370416744755e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.200000000000000000e+01,9.972402884388168465e-01,3.280497878667560929e-01,-6.297367460660635574e-01,1.571199946798819136e+00,1.327540351918812034e+00,9.652029505099155582e-01,-7.901367802384162697e-01,2.317549557988875797e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.300000000000000000e+01,9.973889130708734063e-01,3.302877859687343154e-01,-2.616483947089604523e-01,-7.228885280942890512e-01,-9.485724814230778179e-01,7.031237113702794028e-01,-9.449477272535000694e-01,-3.676867569527340202e-02
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.400000000000000000e+01,9.972298763072190431e-01,3.266269570427784430e-01,9.606391194345864637e-01,1.379456042660064830e+00,-3.021196438460918010e-01,-8.335164711670768334e-01,-8.973436947385605711e-01,-2.135360124723516828e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.500000000000000000e+01,9.972187215891805678e-01,3.305082825508186550e-01,-1.950216501098164690e+00,-1.080175411509352257e+00,-7.575233508469720878e-01,-7.473292660964253598e-01,3.391534069384335437e-01,-2.075939016040813101e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.600000000000000000e+01,9.972688360817638653e-01,3.284356037774666115e-01,-2.687686155031944746e-01,-2.021922764543892637e+00,1.149834506178436105e-01,1.410822830430652708e+00,-7.320429818400916444e-01,-2.894925571244499896e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.700000000000000000e+01,9.972856251913171377e-01,3.302706479612239621e-01,-1.858566633874121132e+00,-3.035262827212010239e-01,-1.712969490845167864e-01,-7.467606945964102572e-01,-7.293154303385893655e-01,8.481837643414581462e-01
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.800000000000000000e+01,9.971069126599089172e-01,3.254982563628819880e-01,1.643792644545345016e+00,-1.775519389765268727e-02,1.813803084542612853e-01,-3.193452502067813392e-01,3.241569752334480525e-01,-1.040461293494793660e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000042e-02,1.900000000000000000e+01,9.972027780050360946e-01,3.301583388939476338e-01,-1.368579965522019437e+00,3.535397580631971515e-01,-3.913232431331823968e-01,-4.159446370069524446e-01,2.109772991485089066e-01,-1.431255613105036462e+00
