ky,energy,edge_weight,ZA_expect,ZB_expect
-3.036872898470133197e+00,1.066524126205950912e-01,9.999999999999735767e-01,1.000000000000000444e+00,-1.000000000000000444e+00
-3.036872898470133197e+00,1.866499893830309009e-01,9.999999999999690248e-01,-9.999999999999994449e-01,9.999999999999994449e-01
-3.001966313430246558e+00,-9.423858331835148761e-01,9.999748121332433515e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.001966313430246558e+00,-1.946997446092235406e-01,9.999999999990543120e-01,1.000000000000000666e+00,-1.000000000000000666e+00
-3.001966313430246558e+00,-1.946997446092234296e-01,9.999999999990538679e-01,-1.000000000000000222e+00,1.000000000000000222e+00
-3.001966313430246558e+00,-1.470470209472366507e-01,9.999999999991309174e-01,-9.999999999999996669e-01,-9.999999999999996669e-01
-3.001966313430246558e+00,-7.059980130948245725e-03,9.999999999992678079e-01,1.000000000000001554e+00,1.000000000000001554e+00
-3.001966313430246558e+00,8.364625300036060418e-02,9.999999999992150723e-01,-9.999999999999997780e-01,-9.999999999999997780e-01
-3.001966313430246558e+00,8.364625300036074296e-02,9.999999999992152944e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.001966313430246558e+00,1.412982046834900529e-01,9.999999999991558974e-01,1.000000000000001110e+00,-1.000000000000001110e+00
-3.001966313430246558e+00,2.212905329694100642e-01,9.999999999990092370e-01,-1.000000000000000000e+00,1.000000000000000000e+00
-2.967059728390360362e+00,-9.489670281991556822e-01,9.998346526235474263e-01,9.999999999999995559e-01,9.999999999999995559e-01
-2.967059728390360362e+00,-2.291661372199516877e-01,9.999999999859776612e-01,1.000000000000000444e+00,-1.000000000000000444e+00
-2.967059728390360362e+00,-2.291661372199508273e-01,9.999999999859768840e-01,-9.999999999999997780e-01,9.999999999999997780e-01
-2.967059728390360362e+00,-1.815182529371854037e-01,9.999999999873572243e-01,-1.000000000000000444e+00,-1.000000000000000444e+00
-2.967059728390360362e+00,-4.154965982123662305e-02,9.999999999899087388e-01,9.999999999999991118e-01,9.999999999999991118e-01
