kind_code,target,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,one_time_pole_calibrations,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,3.500000000000000000e+01,9.583340180861273927e-01,5.376643263389234706e-01,6.157638617605032394e-02,3.300989692983974377e-01,8.910346704681355590e-01,1.000000000000000000e+00,3.766432633892347059e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,3.600000000000000000e+01,9.583340180861273927e-01,5.498362825423047662e-01,2.001003262663675342e-02,3.289032222212968648e-01,8.918226704124481152e-01,1.000000000000000000e+00,4.983628254230476617e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,3.700000000000000000e+01,9.583340180861273927e-01,5.107886623275023075e-01,7.333959843819366775e-02,3.332146954100784764e-01,8.889679667627686799e-01,1.000000000000000000e+00,1.078866232750230747e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,3.800000000000000000e+01,9.583340180861273927e-01,5.523402429156679672e-01,1.600413408578594404e-02,3.410587816340767131e-01,8.836789074702792179e-01,1.000000000000000000e+00,5.234024291566796716e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,3.900000000000000000e+01,9.583340180861273927e-01,5.379344481411373335e-01,2.299030243105647242e-02,3.342841087880358830e-01,8.882541346117885928e-01,1.000000000000000000e+00,3.793444814113733354e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.000000000000000000e+01,9.583340180861273927e-01,5.467852425292185625e-01,4.026651842361089056e-02,3.360988198174869601e-01,8.870375833172923219e-01,1.000000000000000000e+00,4.678524252921856252e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.100000000000000000e+01,9.583340180861273927e-01,5.297074770768932517e-01,5.466423089634096788e-02,3.353474543989001799e-01,8.875420848281776465e-01,1.000000000000000000e+00,2.970747707689325168e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.200000000000000000e+01,9.583340180861273927e-01,4.238721689517880309e-01,5.812009344814524775e-02,3.365739935268199368e-01,8.867179468814081478e-01,0.000000000000000000e+00,7.612783104821196911e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.300000000000000000e+01,9.583340180861273927e-01,4.655438025945275449e-01,1.267385918331363423e-02,3.362170511132773765e-01,8.869580945406918548e-01,0.000000000000000000e+00,3.445619740547245513e-02,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,2.700000000000000000e+01,1.080000000000000000e+03,1.280000000000000000e+02,1.382400000000000000e+05,2.000000000000000000e+00,4.400000000000000000e+01,9.583340180861273927e-01,5.576956128618479891e-01,4.880282260426850593e-02,3.334796938852622183e-01,8.887912937661919255e-01,1.000000000000000000e+00,5.769561286184798909e-02,0.000000000000000000e+00,0.000000000000000000e+00
