kind_code,target,readout_flip_probability,shots_per_setting,settings_per_parameter_point,shots_per_parameter_point,equatorial_points_per_family,total_equatorial_shots_per_family,realization,W3_clean_grid,W3_reconstructed,min_patch_overlap,projector_distance_rms,mean_subspace_fidelity,nearest_integer,parity_margin_to_half_integer,parity_error,integer_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.100000000000000000e+01,9.583340180861273927e-01,7.609587133518317392e-01,1.826776106515580478e-01,2.206036927840217265e-01,9.513340107300528592e-01,1.000000000000000000e+00,2.609587133518317392e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.200000000000000000e+01,9.583340180861273927e-01,7.819663330260147038e-01,1.680808238519670705e-01,2.155172506983858982e-01,9.535523146514091053e-01,1.000000000000000000e+00,2.819663330260147038e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.300000000000000000e+01,9.583340180861273927e-01,7.684790935640664067e-01,1.721127189982986083e-01,2.206906823602759748e-01,9.512956227193557490e-01,1.000000000000000000e+00,2.684790935640664067e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.400000000000000000e+01,9.583340180861273927e-01,8.129155757990589315e-01,1.652200822559570792e-01,2.166269768921149086e-01,9.530727528825830852e-01,1.000000000000000000e+00,3.129155757990589315e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.500000000000000000e+01,9.583340180861273927e-01,7.717801317547164919e-01,2.029363883077273112e-01,2.103642355972975553e-01,9.557468883815647409e-01,1.000000000000000000e+00,2.717801317547164919e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.600000000000000000e+01,9.583340180861273927e-01,7.840325925308071486e-01,1.918283200802050892e-01,2.160249472982294083e-01,9.533332221447972099e-01,1.000000000000000000e+00,2.840325925308071486e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.700000000000000000e+01,9.583340180861273927e-01,7.796825876476202177e-01,1.541628411715812996e-01,2.184773028670325967e-01,9.522676681319468539e-01,1.000000000000000000e+00,2.796825876476202177e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.800000000000000000e+01,9.583340180861273927e-01,7.741696392909479529e-01,1.421622381945210623e-01,2.188515659964520299e-01,9.521039920609006835e-01,1.000000000000000000e+00,2.741696392909479529e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,3.900000000000000000e+01,9.583340180861273927e-01,7.725355358619876434e-01,1.937335614771069359e-01,2.183635340017314463e-01,9.523173670182747408e-01,1.000000000000000000e+00,2.725355358619876434e-01,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.700000000000000000e+01,2.700000000000000000e+03,1.280000000000000000e+02,3.456000000000000000e+05,4.000000000000000000e+01,9.583340180861273927e-01,7.435038275043027722e-01,2.062328489752957850e-01,2.139395351811650692e-01,9.542298752864670774e-01,1.000000000000000000e+00,2.435038275043027722e-01,0.000000000000000000e+00,0.000000000000000000e+00
