ky,energy,edge_weight,ZA_expect,ZB_expect
-3.036872898470133197e+00,7.713824130680974056e-01,9.999592349566944760e-01,-2.532830599713547723e-03,1.000000000000000000e+00
-3.036872898470133197e+00,8.229920906361049004e-01,9.999999419597208616e-01,-7.042388778332565880e-02,9.999999999999998890e-01
-3.036872898470133197e+00,8.845586985008634384e-01,4.435947254712606647e-01,2.464394870096374424e-02,9.762260831143000361e-01
-3.036872898470133197e+00,8.845586985008638825e-01,4.435947254712606647e-01,-2.464394870096387954e-02,-9.762260831142997031e-01
-3.036872898470133197e+00,8.852397788327043271e-01,4.424267830940689650e-01,2.310807883623221259e-02,-9.999999999999994449e-01
-3.036872898470133197e+00,8.852397822987003728e-01,4.424268257775792468e-01,-2.310810564615304805e-02,1.000000000000000222e+00
-3.001966313430246558e+00,-8.978829246140603848e-01,4.320283635714662895e-01,1.028658814095517997e-03,-2.158351732488937857e-01
-3.001966313430246558e+00,-8.978829246140602738e-01,4.320283635714660120e-01,-1.028658814098466160e-03,2.158351732488944241e-01
-3.001966313430246558e+00,-8.971430381695282286e-01,4.330368492863753138e-01,-7.768434064093296051e-03,-1.000000000000000444e+00
-3.001966313430246558e+00,-8.971430291377417987e-01,4.330368001574510517e-01,7.768463039306941140e-03,9.999999999999994449e-01
-3.001966313430246558e+00,-7.877118974729743206e-01,9.999998163477482604e-01,1.724602796829216578e-02,-9.999999998027944148e-01
-3.001966313430246558e+00,-7.877118974729739875e-01,9.999998163477482604e-01,-1.724602796829240517e-02,9.999999998027939707e-01
-3.001966313430246558e+00,-7.541093604096535952e-01,9.998837922665172462e-01,-1.129728561513467216e-03,9.999939995054147879e-01
-3.001966313430246558e+00,-7.541093604096534841e-01,9.998837922665172462e-01,1.129728561512262667e-03,-9.999939995054148989e-01
-3.001966313430246558e+00,-7.538839013728153571e-01,9.999998866296686550e-01,3.643571036075499321e-03,-1.000000000000001998e+00
-3.001966313430246558e+00,-7.485928661420067076e-01,9.998855644201374293e-01,3.455168414260921354e-03,-1.000000000000001998e+00
-3.001966313430246558e+00,-7.485837075208754410e-01,9.998855661577631393e-01,-3.355747538982631600e-03,9.999999999999998890e-01
-3.001966313430246558e+00,-7.024701808006172943e-01,9.999999423638542551e-01,2.416803039563607258e-02,9.999999999999998890e-01
-3.001966313430246558e+00,-3.415943486648807537e-01,9.999999999975387466e-01,4.864502178425383905e-01,-9.999999999999998890e-01
-3.001966313430246558e+00,-3.415943486648800320e-01,9.999999999975377474e-01,-4.864502178425371137e-01,9.999999999999988898e-01
-3.001966313430246558e+00,-2.914102614408612957e-01,9.999999999979417575e-01,-4.996211902349309564e-01,-1.000000000000001110e+00
-3.001966313430246558e+00,-1.676725569442069630e-01,9.999999999986119992e-01,4.154876549580696632e-01,9.999999999999994449e-01
-3.001966313430246558e+00,2.305500645236547852e-01,9.999999999983575361e-01,-4.864580618101840281e-01,-9.999999999999997780e-01
-3.001966313430246558e+00,2.305500645236548962e-01,9.999999999983592014e-01,4.864580618101841392e-01,1.000000000000001554e+00
-3.001966313430246558e+00,2.856648566304241799e-01,9.999999999980664356e-01,4.996243336152628722e-01,-1.000000000000000666e+00
-3.001966313430246558e+00,3.818907081068019238e-01,9.999999999971468378e-01,-4.154814920504658615e-01,1.000000000000000222e+00
-3.001966313430246558e+00,7.388735912354449376e-01,9.999999084782663639e-01,1.738402128459133611e-02,-9.999999968364233771e-01
-3.001966313430246558e+00,7.388735912354450486e-01,9.999999084782659198e-01,-1.738402128459103774e-02,9.999999968364227110e-01
-3.001966313430246558e+00,7.710346106458989546e-01,9.999998538501750911e-01,-1.663134806070625665e-02,-1.000000000000001554e+00
-3.001966313430246558e+00,7.713264526277717748e-01,9.998731232920781142e-01,9.536408672890277693e-04,-9.999731499668846890e-01
-3.001966313430246558e+00,7.713264526277721078e-01,9.998731232920786693e-01,-9.536408672888419371e-04,9.999731499668849111e-01
-3.001966313430246558e+00,7.768710934403889601e-01,9.998706978822220481e-01,3.616382970280461896e-03,-1.000000000000000444e+00
-3.001966313430246558e+00,7.768785968741903636e-01,9.998706928222335089e-01,-3.495621561144870992e-03,1.000000000000001554e+00
-3.001966313430246558e+00,8.290181754754960552e-01,9.999994078675090714e-01,-7.646059970922182425e-02,1.000000000000000888e+00
-3.001966313430246558e+00,8.891209950077777480e-01,4.426236513363750458e-01,-2.341555949414795851e-03,-7.008404867169565344e-02
-3.001966313430246558e+00,8.891209950077777480e-01,4.426236513363748792e-01,2.341555949413294015e-03,7.008404867169351626e-02
-3.001966313430246558e+00,8.898092636461042426e-01,4.415843488158850416e-01,3.056482208448433810e-02,-1.000000000000000222e+00
-3.001966313430246558e+00,8.898092989268097108e-01,4.415847893375047239e-01,-3.056511789784456534e-02,9.999999999999988898e-01
-2.967059728390360362e+00,-9.035162655471308257e-01,4.316665452578046236e-01,-5.881083232445923244e-03,9.905739675803019173e-01
-2.967059728390360362e+00,-9.035162655471307147e-01,4.316665452578051232e-01,5.881083232443897954e-03,-9.905739675803021393e-01
-2.967059728390360362e+00,-9.027688978169905454e-01,4.324791220439671569e-01,-9.707816069431711437e-03,-9.999999999999997780e-01
-2.967059728390360362e+00,-9.027688447495414437e-01,4.324788321203297259e-01,9.707943729515550527e-03,1.000000000000001332e+00
-2.967059728390360362e+00,-7.948151055749423932e-01,9.999989092592883599e-01,2.139909271657433609e-02,-9.999999999806161721e-01
-2.967059728390360362e+00,-7.948151055749417271e-01,9.999989092592896922e-01,-2.139909271657437079e-02,9.999999999806173934e-01
-2.967059728390360362e+00,-7.610340102867539924e-01,9.997175883656410633e-01,-1.525423354240764253e-03,9.999993836625553634e-01
-2.967059728390360362e+00,-7.610340102867527712e-01,9.997175883656386208e-01,1.525423354238771489e-03,-9.999993836625533650e-01
-2.967059728390360362e+00,-7.609056486324888846e-01,9.999993287355939398e-01,1.912682312064794546e-03,-9.999999999999986677e-01
-2.967059728390360362e+00,-7.555119792471142182e-01,9.997221709676660240e-01,4.450921873995390861e-03,-9.999999999999998890e-01
-2.967059728390360362e+00,-7.554898039743728200e-01,9.997221797250249731e-01,-4.204866340200091868e-03,1.000000000000000000e+00
-2.967059728390360362e+00,-7.101262394578123915e-01,9.999996603144922780e-01,1.846059725440968302e-02,9.999999999999995559e-01
-2.967059728390360362e+00,-3.597701539839113782e-01,9.999999999637327885e-01,5.705844421999102245e-01,-9.999999999999986677e-01
-2.967059728390360362e+00,-3.597701539839112117e-01,9.999999999637346759e-01,-5.705844421999097804e-01,1.000000000000000888e+00
-2.967059728390360362e+00,-3.100105592019393730e-01,9.999999999700390774e-01,-5.815112866106456613e-01,-9.999999999999995559e-01
-2.967059728390360362e+00,-1.836392516398981656e-01,9.999999999807043238e-01,5.112368204929967908e-01,9.999999999999992228e-01
-2.967059728390360362e+00,2.487560410539143285e-01,9.999999999766390202e-01,-5.706082626031796501e-01,-9.999999999999990008e-01
-2.967059728390360362e+00,2.487560410539149114e-01,9.999999999766393532e-01,5.706082626031786509e-01,9.999999999999994449e-01
-2.967059728390360362e+00,3.042763363572624224e-01,9.999999999720204924e-01,5.815207186566889730e-01,-1.000000000000000444e+00
-2.967059728390360362e+00,3.978166578350172400e-01,9.999999999580513332e-01,-5.112159157707975021e-01,1.000000000000000000e+00
-2.967059728390360362e+00,7.459579261065286682e-01,9.999994638911278155e-01,2.181465564101932320e-02,-9.999999989265804246e-01
-2.967059728390360362e+00,7.459579261065293343e-01,9.999994638911289258e-01,-2.181465564101977075e-02,9.999999989265820899e-01
-2.967059728390360362e+00,7.780378485140794220e-01,9.999991484681844955e-01,-1.871142266243034508e-02,-1.000000000000000666e+00
-2.967059728390360362e+00,7.782281216111699429e-01,9.996892348189576616e-01,9.949503943976719441e-04,-9.999998038999244887e-01
-2.967059728390360362e+00,7.782281216111704980e-01,9.996892348189597710e-01,-9.949503944008527764e-04,9.999998038999264871e-01
-2.967059728390360362e+00,7.837769646850327732e-01,9.996827963909197257e-01,4.962816076631204089e-03,-9.999999999999997780e-01
-2.967059728390360362e+00,7.837946950215469721e-01,9.996827724404638849e-01,-4.643192422638894347e-03,9.999999999999982236e-01
-2.967059728390360362e+00,8.365493855200529794e-01,9.999963628366537183e-01,-8.232649709019070061e-02,1.000000000000000888e+00
-2.967059728390360362e+00,8.947782777946995392e-01,4.410216679592652289e-01,3.875550613731335026e-02,9.389881232816212897e-01
-2.967059728390360362e+00,8.947782777946995392e-01,4.410216679592649514e-01,-3.875550613731610500e-02,-9.389881232816215118e-01
-2.967059728390360362e+00,8.954792970368385951e-01,4.401636657623378412e-01,3.771865313778720308e-02,-9.999999999999993339e-01
-2.967059728390360362e+00,8.954795122147239939e-01,4.401664082901175501e-01,-3.772059590942913876e-02,9.999999999999980016e-01
-2.932153143350473723e+00,-9.100776096514024971e-01,4.305837341607159918e-01,7.210290819834941529e-03,-9.999927192240977147e-01
-2.932153143350473723e+00,-9.100776096514021640e-01,4.305837341607157698e-01,-7.210290819837017993e-03,9.999927192240979368e-01
-2.932153143350473723e+00,-9.093158004658699056e-01,4.311404257074420987e-01,-1.176650691218940684e-02,-9.999999999999987788e-01
-2.932153143350473723e+00,-9.093155755122617201e-01,4.311391914503319711e-01,1.176686640222796877e-02,9.999999999999983347e-01
-2.932153143350473723e+00,-8.033978186451666836e-01,9.999953102552477935e-01,-2.537348828901601211e-02,9.999999998614258478e-01
-2.932153143350473723e+00,-8.033978186451660175e-01,9.999953102552467943e-01,2.537348828901486719e-02,-9.999999998614255148e-01
-2.932153143350473723e+00,-7.694120092150256163e-01,9.999971347609638572e-01,1.075789791058430115e-04,-9.999999999999997780e-01
-2.932153143350473723e+00,-7.692790139911328540e-01,9.994173897637392834e-01,2.067507487586575828e-03,-9.999034207350061543e-01
-2.932153143350473723e+00,-7.692790139911327429e-01,9.994173897637386172e-01,-2.067507487585963036e-03,9.999034207350050441e-01
-2.932153143350473723e+00,-7.637479257269216282e-01,9.994275784822561626e-01,5.518788518638476082e-03,-9.999999999999980016e-01
-2.932153143350473723e+00,-7.637025448969212427e-01,9.994276108556394700e-01,-5.006207271225728873e-03,1.000000000000001332e+00
-2.932153143350473723e+00,-7.192168867812536170e-01,9.999985602527872164e-01,1.280340985605742631e-02,1.000000000000000888e+00
-2.932153143350473723e+00,-3.803897362213810029e-01,9.999999996723960560e-01,-6.395956012985632988e-01,9.999995041121343409e-01
-2.932153143350473723e+00,-3.803897362213803923e-01,9.999999996723982765e-01,6.395956012985650752e-01,-9.999995041121365613e-01
-2.932153143350473723e+00,-3.309873199327991733e-01,9.999999997333164359e-01,-6.485580390261544981e-01,-9.999999999999993339e-01
-2.932153143350473723e+00,-2.024739973849205288e-01,9.999999998364372811e-01,5.907883920177101622e-01,1.000000000000000222e+00
-2.932153143350473723e+00,2.694302848197743239e-01,9.999999997971165122e-01,-6.396530333996873763e-01,-9.999972839727397922e-01
-2.932153143350473723e+00,2.694302848197744349e-01,9.999999997971164012e-01,6.396530333996867101e-01,9.999972839727396812e-01
-2.932153143350473723e+00,3.252733769447923029e-01,9.999999997524779971e-01,6.485811750526733199e-01,-1.000000000000000000e+00
-2.932153143350473723e+00,4.165781538559164554e-01,9.999999996210091613e-01,-5.907335382926414136e-01,9.999999999999993339e-01
-2.932153143350473723e+00,7.545057888604955743e-01,9.999977378288990026e-01,2.639135242056561692e-02,-9.999999964312299428e-01
-2.932153143350473723e+00,7.545057888604966845e-01,9.999977378288980034e-01,-2.639135242056604366e-02,9.999999964312290546e-01
-2.932153143350473723e+00,7.864323138841851080e-01,9.993528630363579524e-01,-7.678402489209883077e-04,9.999971883892091462e-01
-2.932153143350473723e+00,7.864323138841856631e-01,9.993528630363566201e-01,7.678402489193010723e-04,-9.999971883892078139e-01
-2.932153143350473723e+00,7.865168534260873479e-01,9.999964202721872697e-01,-2.128019690292847280e-02,-1.000000000000000222e+00
-2.932153143350473723e+00,7.919891363391008410e-01,9.993381435723180939e-01,6.882517479086990020e-03,-9.999999999999987788e-01
-2.932153143350473723e+00,7.920245325336175979e-01,9.993380746310204232e-01,-6.106297566174414757e-03,1.000000000000000222e+00
-2.932153143350473723e+00,8.455361463019203105e-01,9.999836598505299490e-01,-8.788925295242590308e-02,9.999999999999993339e-01
-2.932153143350473723e+00,9.013833879720495323e-01,4.385421049544314109e-01,-4.862138185781803013e-02,-9.994497889368350041e-01
-2.932153143350473723e+00,9.013833879720506426e-01,4.385421049544319105e-01,4.862138185781609417e-02,9.994497889368356702e-01
