flux,total_charge_right,A_charge_right,B_charge_right
6.214285714285714413e-01,-2.635313772998415516e-04,-2.529532139305956662e-12,2.479258594298727303e+00
6.285714285714285587e-01,-2.556037297694047083e-04,-2.458477865729946643e-12,2.507737164501648408e+00
6.357142857142856762e-01,-2.475239858625855049e-04,-2.401634446869138628e-12,2.536225156807049075e+00
6.428571428571429047e-01,-2.393082458667095125e-04,-2.287947609147522599e-12,2.564722743122942461e+00
6.500000000000000222e-01,-2.309729009652983223e-04,-2.245315045001916587e-12,2.593230076346571877e+00
6.571428571428571397e-01,-2.225346014910201120e-04,-2.202682480856310576e-12,2.621747290022724997e+00
6.642857142857142572e-01,-2.140102246244168782e-04,-2.160049916710704565e-12,2.650274498039777882e+00
6.714285714285713746e-01,-2.054168408704981630e-04,-2.003730514843482524e-12,2.678811794362204068e+00
6.785714285714286031e-01,-1.967716814021969185e-04,-1.904254531837068498e-12,2.707359252802774563e+00
6.857142857142857206e-01,-1.880921028174498133e-04,-1.804778548830654472e-12,2.735916926832615559e+00
6.928571428571428381e-01,-1.793955539426406176e-04,-1.762145984685048461e-12,2.764484849432392366e+00
6.999999999999999556e-01,-1.706995397370292267e-04,-1.662670001678634435e-12,2.793063032983312155e+00
7.071428571428571841e-01,-1.620215869877483783e-04,-1.591615728102624416e-12,2.821651469199167650e+00
7.142857142857143016e-01,-1.533792084842389158e-04,-1.534772309241816401e-12,2.850250129100373897e+00
7.214285714285714191e-01,-1.447898677895409492e-04,-1.421085471520200372e-12,2.878858963029756524e+00
7.285714285714285365e-01,-1.362709431873554422e-04,-1.392663762089796364e-12,2.907477900710517815e+00
7.357142857142857650e-01,-1.278396926522873400e-04,-1.278976924368180335e-12,2.936106851347147995e+00
7.428571428571428825e-01,-1.195132178111180110e-04,-1.193711796076968312e-12,2.964745703768073781e+00
7.500000000000000000e-01,-1.113084286572529891e-04,-1.122657522500958294e-12,2.993394326612147438e+00
7.571428571428571175e-01,-1.032420085351759553e-04,-1.037392394209746271e-12,3.022052568556759411e+00
7.642857142857142350e-01,-9.533037906805930106e-05,-9.805489753489382565e-13,3.050720258588924594e+00
7.714285714285714635e-01,-8.758966592381511873e-05,-8.810729923425242305e-13,3.079397206318475355e+00
7.785714285714285809e-01,-8.003566439640508179e-05,-8.100187187665142119e-13,3.108083202333162376e+00
7.857142857142856984e-01,-7.268380630875981296e-05,-7.389644451905041933e-13,3.136778018594611694e+00
7.928571428571428159e-01,-6.554912698675252614e-05,-7.105427357601001859e-13,3.165481408875621128e+00
8.000000000000000444e-01,-5.864623328477591713e-05,-5.826450433232821524e-13,3.194193109237161821e+00
8.071428571428571619e-01,-5.198927195237956767e-05,-5.400124791776761413e-13,3.222912838544999659e+00
8.142857142857142794e-01,-4.559189957831222273e-05,-5.115907697472721338e-13,3.251640299024131764e+00
8.214285714285713969e-01,-3.946725254877492262e-05,-4.263256414560601115e-13,3.280375176851180186e+00
8.285714285714286254e-01,-3.362791906624806870e-05,-3.979039320256561041e-13,3.309117142782383780e+00
8.357142857142857428e-01,-2.808591122516190808e-05,-2.557953848736360669e-13,3.337865852817088808e+00
8.428571428571428603e-01,-2.285263933288206317e-05,-2.415845301584340632e-13,3.366620948894691878e+00
8.499999999999999778e-01,-1.793888625911677082e-05,-2.273736754432320595e-13,3.395382059623926807e+00
8.571428571428570953e-01,-1.335478422959113232e-05,-7.105427357601001859e-14,3.424148801042449008e+00
8.642857142857143238e-01,-9.109792401318372868e-06,-1.421085471520200372e-14,3.452920777406106367e+00
8.714285714285714413e-01,-5.212675631582897040e-06,0.000000000000000000e+00,3.481697582005011782e+00
8.785714285714285587e-01,-1.671485591714372276e-06,1.421085471520200372e-13,3.510478798005777890e+00
8.857142857142856762e-01,1.506457721234255587e-06,2.273736754432320595e-13,3.539263999316773379e+00
8.928571428571429047e-01,4.314581715902932046e-06,2.415845301584340632e-13,3.568052751475519813e+00
9.000000000000000222e-01,6.747075971702543029e-06,4.405364961712621152e-13,3.596844612555898379e+00
9.071428571428571397e-01,8.798905767548603762e-06,5.542233338928781450e-13,3.625639134092480731e+00
9.142857142857142572e-01,1.046582242736349144e-05,7.531752999057061970e-13,3.654435862020861236e+00
9.214285714285713746e-01,1.174437359452440433e-05,9.237055564881302416e-13,3.683234337630821642e+00
