flux,total_charge_right,A_charge_right,B_charge_right;T=100.0
2.041666666666666630e-01,-5.214440930463304369e-03,4.536532401555604110e-05,8.783168061327240039e-01
2.055555555555555747e-01,-6.123088272992127656e-03,3.098793606159944147e-05,8.829594084788547903e-01
2.069444444444444586e-01,-7.003848361480713436e-03,8.310337347161578236e-06,8.867438125496667212e-01
2.083333333333333426e-01,-7.770020187589210536e-03,-1.864331153988985079e-05,8.897982362069267737e-01
2.097222222222222265e-01,-8.337717475324524230e-03,-4.360453139540254597e-05,8.923181088731286792e-01
2.111111111111111105e-01,-8.637474844715775646e-03,-5.960919241676521096e-05,8.945628268910601477e-01
2.124999999999999944e-01,-8.626475285566037599e-03,-6.106219116208677633e-05,8.968362237172575746e-01
2.138888888888889062e-01,-8.298249590053430325e-03,-4.561705261707516001e-05,8.994531065257032054e-01
2.152777777777777901e-01,-7.686875619708821716e-03,-1.519413730743934821e-05,9.026981720243183460e-01
2.166666666666666741e-01,-6.863993623333897176e-03,2.425307108744334528e-05,9.067851472415533465e-01
2.180555555555555580e-01,-5.928908441940272667e-03,6.417927403656875640e-05,9.118241243074960423e-01
2.194444444444444420e-01,-4.993948359636846135e-03,9.563832652936810064e-05,9.178044213083094149e-01
2.208333333333333537e-01,-4.168401187643944183e-03,1.115303786898280691e-04,9.245983801466737262e-01
2.222222222222222376e-01,-3.544379016664933602e-03,1.082339188016590015e-04,9.319872970931495360e-01
2.236111111111111216e-01,-3.186966254209444571e-03,8.620553636884409343e-05,9.397042470418108806e-01
2.250000000000000056e-01,-3.129471579342180121e-03,4.950206698595138732e-05,9.474820899319347234e-01
2.263888888888888895e-01,-3.373182702946841971e-03,4.520136395846918731e-06,9.550920609402089312e-01
2.277777777777777735e-01,-3.890226243473016154e-03,-4.156374012875829749e-05,9.623618629312202799e-01
2.291666666666666852e-01,-4.628128684670329562e-03,-8.217965994994358425e-05,9.691717090697551384e-01
2.305555555555555691e-01,-5.515242450781165928e-03,-1.122752443238894671e-04,9.754379840796447709e-01
2.319444444444444531e-01,-6.466895835758101896e-03,-1.286841784429171298e-04,9.811007482032652049e-01
2.333333333333333370e-01,-7.392512625250091673e-03,-1.300809029860516830e-04,9.861285279956408800e-01
2.347222222222222210e-01,-8.203820264773398208e-03,-1.167365796828079283e-04,9.905420727043292572e-01
2.361111111111111327e-01,-8.823725048361374945e-03,-9.026029288161652175e-05,9.944440221249832845e-01
2.375000000000000167e-01,-9.194803612103896739e-03,-5.340440284307135244e-05,9.980325307674817736e-01
2.388888888888889006e-01,-9.286001863121562394e-03,-9.901736588879828105e-06,1.001580336788960857e+00
2.402777777777777846e-01,-9.096253211740901179e-03,3.575852441706217633e-05,1.005376457296195625e+00
2.416666666666666685e-01,-8.654293937369494927e-03,7.869806680194102455e-05,1.009648147047022881e+00
2.430555555555555525e-01,-8.014733195145673506e-03,1.141745169759289524e-04,1.014494721432439128e+00
2.444444444444444642e-01,-7.251136834979021728e-03,1.381960194262177311e-04,1.019863560166831107e+00
2.458333333333333481e-01,-6.447302120508702217e-03,1.480983144928060824e-04,1.025581175306363058e+00
2.472222222222222321e-01,-5.687989947465332818e-03,1.429462018736060713e-04,1.031426780342866500e+00
2.486111111111111160e-01,-5.050233634622536272e-03,1.236577148473472221e-04,1.037215499713179945e+00
2.500000000000000000e-01,-4.596093931088063300e-03,9.281606157429678206e-05,1.042854239862430532e+00
2.513888888888888840e-01,-4.367466804577446737e-03,5.420834268043961401e-05,1.048347888482927814e+00
2.527777777777777679e-01,-4.383284369312789863e-03,1.219171650213013436e-05,1.053759302654752261e+00
2.541666666666666519e-01,-4.639152747358821216e-03,-2.897544787572314817e-05,1.059149669868363119e+00
2.555555555555555913e-01,-5.109149029644655116e-03,-6.569465241135219458e-05,1.064533877793923722e+00
2.569444444444444753e-01,-5.749229431183167094e-03,-9.536706150825580153e-05,1.069874483154990230e+00
2.583333333333333592e-01,-6.501599013601477850e-03,-1.164597217471197155e-04,1.075114352282264818e+00
2.597222222222222432e-01,-7.299530244563534609e-03,-1.283273407812757227e-04,1.080225558080500470e+00
2.611111111111111271e-01,-8.072435589133952760e-03,-1.308970687796673360e-04,1.085243333646300989e+00
